cbsa_code,cbsa_name,vintage_present,summary,rem_cty_1_code,rem_cty_1_name,rem_cty_2_code,rem_cty_2_name,rem_cty_3_code,rem_cty_3_name,rem_cty_4_code,rem_cty_4_name,rem_cty_5_code,rem_cty_5_name,rem_cty_6_code,rem_cty_6_name,add_cty_1_code,add_cty_1_name,add_cty_2_code,add_cty_2_name,add_cty_3_code,add_cty_3_name,add_cty_4_code,add_cty_4_name,add_cty_5_code,add_cty_5_name,add_cty_6_code,add_cty_6_name
24330,"Grand Rapids, MN",2023,New CBSA. Added: 27061,,,,,,,,,,,,,27061,Itasca County,,,,,,,,,,
24340,"Grand Rapids-Wyoming-Kentwood, MI",Both,Added: 26067,,,,,,,,,,,,,26067,Ionia County,,,,,,,,,,
24380,"Grants, NM",2013,,35006,Cibola County,,,,,,,,,,,,,,,,,,,,,,
24600,"Greencastle, IN",2023,New CBSA. Added: 18133,,,,,,,,,,,,,18133,Putnam County,,,,,,,,,,
24980,"Grenada, MS",Both,Added: 28097,,,,,,,,,,,,,28097,Montgomery County,,,,,,,,,,
25060,"Gulfport-Biloxi, MS",Both,Added: 28131,,,,,,,,,,,,,28131,Stone County,,,,,,,,,,
25180,"Hagerstown-Martinsburg, MD-WV",Both,Added: 54065,,,,,,,,,,,,,54065,Morgan County,,,,,,,,,,
25540,"Hartford-West Hartford-East Hartford, CT",Both,"Removed: 09003, 09007, 09013; Added: 09110, 09130",09003,Hartford County,09007,Middlesex County,09013,Tolland County,,,,,,,09110,Capitol Planning Region,09130,Lower Connecticut River Valley Planning Region,,,,,,,,
25580,"Hastings, NE",Both,"Added: 31035, 31181",,,,,,,,,,,,,31035,Clay County,31181,Webster County,,,,,,,,
25720,"Heber, UT",Both,Added: 49043,,,,,,,,,,,,,49043,Summit County,,,,,,,,,,
25740,"Helena, MT",Both,Added: 30007,,,,,,,,,,,,,30007,Broadwater County,,,,,,,,,,
25760,"Helena-West Helena, AR",2013,,05107,Phillips County,,,,,,,,,,,,,,,,,,,,,,
25770,"Hemlock Farms, PA",2023,New CBSA. Added: 42103,,,,,,,,,,,,,42103,Pike County,,,,,,,,,,
25775,"Henderson, KY",2023,"New CBSA. Added: 21101, 21233",,,,,,,,,,,,,21101,Henderson County,21233,Webster County,,,,,,,,
25850,"Hermitage, PA",2023,New CBSA. Added: 42085,,,,,,,,,,,,,42085,Mercer County,,,,,,,,,,
26420,"Houston-Pasadena-The Woodlands, TX",Both,Added: 48407,,,,,,,,,,,,,48407,San Jacinto County,,,,,,,,,,
26580,"Huntington-Ashland, WV-KY-OH",Both,"Removed: 54043; Added: 21043, 21127",54043,Lincoln County,,,,,,,,,,,21043,Carter County,21127,Lawrence County,,,,,,,,
26660,"Huntsville, TX",Both,Removed: 48455,48455,Trinity County,,,,,,,,,,,,,,,,,,,,,,
26900,"Indianapolis-Carmel-Greenwood, IN",Both,Removed: 18133; Added: 18159,18133,Putnam County,,,,,,,,,,,18159,Tipton County,,,,,,,,,,
26940,"Indianola, MS",2013,,28133,Sunflower County,,,,,,,,,,,,,,,,,,,,,,
26960,"Ionia, MI",2013,,26067,Ionia County,,,,,,,,,,,,,,,,,,,,,,
27140,"Jackson, MS",Both,"Added: 28051, 28123",,,,,,,,,,,,,28051,Holmes County,28123,Scott County,,,,,,,,
27160,"Jackson, OH",2013,,39079,Jackson County,,,,,,,,,,,,,,,,,,,,,,
27180,"Jackson, TN",Both,Added: 47053,,,,,,,,,,,,,47053,Gibson County,,,,,,,,,,
27540,"Jasper, IN",Both,Removed: 18125,18125,Pike County,,,,,,,,,,,,,,,,,,,,,,
27580,"Jayuya, PR",2013,,72073,Jayuya Municipio,,,,,,,,,,,,,,,,,,,,,,
27900,"Joplin, MO-KS",Both,Added: 20021,,,,,,,,,,,,,20021,Cherokee County,,,,,,,,,,
27920,"Junction City, KS",2013,,20061,Geary County,,,,,,,,,,,,,,,,,,,,,,
28020,"Kalamazoo-Portage, MI",Both,Removed: 26159,26159,Van Buren County,,,,,,,,,,,,,,,,,,,,,,
28450,"Kenosha, WI",2023,New CBSA. Added: 55059,,,,,,,,,,,,,55059,Kenosha County,,,,,,,,,,
28620,"Kill Devil Hills, NC",Both,Removed: 37177,37177,Tyrrell County,,,,,,,,,,,,,,,,,,,,,,
28680,"Kingsland, GA",2023,New CBSA. Added: 13039,,,,,,,,,,,,,13039,Camden County,,,,,,,,,,
28780,"Kingsville, TX",Both,Removed: 48261,48261,Kenedy County,,,,,,,,,,,,,,,,,,,,,,
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",2023,"New CBSA. Added: 36027, 36071",,,,,,,,,,,,,36027,Dutchess County,36071,Orange County,,,,,,,,
29100,"La Crosse-Onalaska, WI-MN",Both,Added: 55123,,,,,,,,,,,,,55123,Vernon County,,,,,,,,,,
29180,"Lafayette, LA",Both,Removed: 22045,22045,Iberia Parish,,,,,,,,,,,,,,,,,,,,,,
29200,"Lafayette-West Lafayette, IN",Both,Added: 18171,,,,,,,,,,,,,18171,Warren County,,,,,,,,,,
29300,"LaGrange, GA-AL",Both,Added: 01017,,,,,,,,,,,,,01017,Chambers County,,,,,,,,,,
29340,"Lake Charles, LA",Both,Added: 22053,,,,,,,,,,,,,22053,Jefferson Davis Parish,,,,,,,,,,
29470,"Lake of the Woods, VA",2023,New CBSA. Added: 51137,,,,,,,,,,,,,51137,Orange County,,,,,,,,,,
29500,"Lamesa, TX",2013,,48115,Dawson County,,,,,,,,,,,,,,,,,,,,,,
29720,"Lares, PR",2023,New CBSA. Added: 72081,,,,,,,,,,,,,72081,Lares Municipio,,,,,,,,,,
