STCOU,CBSA,MDIV
55073,48140,
39081,48260,
54009,48260,
54029,48260,
53007,48300,
53017,48300,
39013,48540,
54051,48540,
54069,48540,
20015,48620,
20079,48620,
20173,48620,
20191,48620,
48009,48660,
48077,48660,
48485,48660,
12119,48680,
42081,48700,
37019,48900,
37129,48900,
37141,48900,
51069,49020,
51840,49020,
54027,49020,
37057,49180,
37059,49180,
37067,49180,
37169,49180,
37197,49180,
25027,49340,
53077,49420,
42133,49620,
39099,49660,
39155,49660,
06101,49700,
06115,49700,
04027,49740,
46013,10100,
46045,10100,
53027,10140,
40123,10220,
26091,10300,
35035,10460,
08003,10480,
08021,10480,
08023,10480,
37167,10620,
27047,10660,
01095,10700,
01123,10760,
27041,10820,
48047,10860,
48249,10860,
26057,10940,
26007,10980,
40065,11060,
13249,11140,
13261,11140,
36057,11220,
37085,11360,
48003,11380,
18151,11420,
12027,11580,
40019,11620,
05019,11660,
20035,11680,
39005,11740,
41007,11820,
20005,11860,
39009,11900,
47107,11940,
47121,11940,
48213,11980,
18033,12140,
36011,12180,
23011,12300,
27099,12380,
13087,12460,
41001,12520,
55111,12660,
50023,12740,
40147,12780,
36037,12860,
05063,12900,
48321,13060,
31067,13100,
55027,13180,
18093,13260,
48025,13300,
39091,13340,
27007,13420,
50003,13540,
26107,13660,
48227,13700,
06027,13860,
16011,13940,
42037,14100,
51185,14140,
54055,14140,
05093,14180,
22117,14220,
48147,14300,
37189,14380,
48233,14420,
42083,14620,
27021,14660,
27035,14660,
29213,14700,
50025,14710,
08065,14720,
08117,14720,
48477,14780,
37175,14820,
16071,14940,
49003,14940,
28085,15020,
41015,15060,
46011,15100,
48049,15220,
39033,15340,
16031,15420,
16067,15420,
17071,15460,
19057,15460,
30093,15580,
26113,15620,
26165,15620,
13129,15660,
24019,15700,
39059,15740,
05013,15780,
05103,15780,
21087,15820,
21217,15820,
08043,15860,
17057,15900,
17077,16060,
35015,16100,
19027,16140,
49021,16260,
13233,16340,
39107,16380,
17121,16460,
53041,16500,
17029,16660,
39141,17060,
54017,17220,
54033,17220,
54091,17220,
28027,17260,
06033,17340,
28011,17380,
12043,17500,
12051,17500,
19045,17540,
35009,17580,
35041,17580,
56029,17650,
26023,17740,
28087,18060,
28103,18060,
31037,18100,
31141,18100,
33013,18180,
